neighborhood,home_type,predicted_price
Upper East Side,Duplex,10234398.32
Upper East Side,Miscellaneous,9312741.32
Upper East Side,MultiFamily2To4,3568676.82
Upper East Side,Quadruplex,9787688.18
Upper East Side,SingleFamily,12132382.08
Upper East Side,Townhouse,13081123.96
Upper West Side,Apartment - 1 bedrooms,6984616.66
Upper West Side,Condominium,1808122.44
Upper West Side,Cooperative,8398915.42
Upper West Side,Duplex,7317668.6
Upper West Side,MultiFamily2To4,1707180.5
Upper West Side,Quadruplex,6908592.54
Upper West Side,SingleFamily,9750540.04
Upper West Side,Townhouse,9601008.84
Washington Heights,Apartment - 1 bedrooms,2423457.74
Washington Heights,Condominium,852394.26
Washington Heights,Cooperative,8605671.84
Washington Heights,Duplex,2724590.28
Washington Heights,Miscellaneous,1059462.18
Washington Heights,MultiFamily2To4,1749400.18
Washington Heights,Quadruplex,2885463.08
Washington Heights,SingleFamily,2944564.28
Washington Heights,Townhouse,3206848.76
West Village,Apartment - 1 bedrooms,2968824.34
West Village,Condominium,4010259.064
West Village,Cooperative,7395716.42
West Village,Duplex,8899819.86
West Village,Miscellaneous,10533235.68
West Village,MultiFamily2To4,2370772.68
West Village,Quadruplex,8717015.82
West Village,SingleFamily,8146866.4
West Village,Townhouse,8800252.8
Williamsburg,Apartment - 1 bedrooms,1415332.2
Williamsburg,Condominium,9200447.32
Williamsburg,Duplex,4760450.38
Williamsburg,MultiFamily2To4,2442003.4
Williamsburg,SingleFamily,4657812.86
Williamsburg,Townhouse,3964052.64
Williamsburg,Unknown,1638654.66
Yorkville,Apartment - 1 bedrooms,1138370.32
Yorkville,Condominium,2410550.3
Yorkville,Cooperative,10865942.68
Yorkville,Duplex,4099409.32
Yorkville,MultiFamily2To4,2738109.52
Yorkville,Quadruplex,4105008.76
Yorkville,SingleFamily,5655489.88
Yorkville,Townhouse,6184877.88
Bedford-Stuyvesant,Apartment - 2 bedrooms,7058352.9
Borough Park,Apartment - 2 bedrooms,1641192.02
Carnegie Hill,Apartment - 2 bedrooms,11768691.52
Chelsea,Apartment - 2 bedrooms,7340888.72
Clinton,Apartment - 2 bedrooms,8855763.4
East Harlem,Apartment - 2 bedrooms,3021392.96
East Village,Apartment - 2 bedrooms,2565103.82
Greenwich Village,Apartment - 2 bedrooms,9332183.22
Hamilton Heights,Apartment - 2 bedrooms,1591049.14
Harlem,Apartment - 2 bedrooms,2615146.6
Inwood,Apartment - 2 bedrooms,1164349.02
Lower East Side,Apartment - 2 bedrooms,1874441.18
Morningside Heights,Apartment - 2 bedrooms,3676711.42
North Sutton Area,Apartment - 2 bedrooms,8416197.54
Soho,Apartment - 2 bedrooms,10117116.9
Tribeca,Apartment - 2 bedrooms,3211943.52
Upper East Side,Apartment - 2 bedrooms,9078516.36
Upper West Side,Apartment - 2 bedrooms,7119013.66
Washington Heights,Apartment - 2 bedrooms,2385018.6
West Village,Apartment - 2 bedrooms,3083431.48
Williamsburg,Apartment - 2 bedrooms,1454307.48
Yorkville,Apartment - 2 bedrooms,1104209.1
Bedford-Stuyvesant,Apartment - 3 bedrooms,7160221.16
Borough Park,Apartment - 3 bedrooms,1659482.74
Carnegie Hill,Apartment - 3 bedrooms,11442154.46
Chelsea,Apartment - 3 bedrooms,8034412.32
Clinton,Apartment - 3 bedrooms,8887457.16
East Harlem,Apartment - 3 bedrooms,3177447.92
East Village,Apartment - 3 bedrooms,2709206.86
Greenwich Village,Apartment - 3 bedrooms,9668566.74
Hamilton Heights,Apartment - 3 bedrooms,1574657.3
Harlem,Apartment - 3 bedrooms,2477648.34
Inwood,Apartment - 3 bedrooms,1400250.06
Lower East Side,Apartment - 3 bedrooms,1870931.82
Morningside Heights,Apartment - 3 bedrooms,3736333.84
North Sutton Area,Apartment - 3 bedrooms,9080721.58
Soho,Apartment - 3 bedrooms,10268104.1
Tribeca,Apartment - 3 bedrooms,3217317.46
Upper East Side,Apartment - 3 bedrooms,9562690.54
Upper West Side,Apartment - 3 bedrooms,7599369.92
Washington Heights,Apartment - 3 bedrooms,2407299.94
West Village,Apartment - 3 bedrooms,3104241.74
Williamsburg,Apartment - 3 bedrooms,1489083.8
Yorkville,Apartment - 3 bedrooms,1244358.8
